Author,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
Ljiljana Markovic-Denic,"Birgand G., Mutters N.T., Ahmad R., Tacconelli E., Lucet J.-C., Holmes A., Asensio A., Buke C., Markovic-Denic L., Da Graca Domingues Rocha M., Kluytmans J., Lyytikainen O., Otter J.A., Presterl E., Salmanov A., Schaffer K., Rodriguez Bano J., Schechner V., Szilagyi E., Tsakris A.",Risk perception of the antimicrobial resistance by infection control specialists in Europe: A case-vignette study,2020,Antimicrobial Resistance and Infection Control,9.0,1,33,0,0,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079361850&doi=10.1186%2fs13756-020-0695-z&partnerID=40&md5=eaab1a7235732be5f865f2a6c55e209a,Article,Scopus
Ljiljana Markovic-Denic,"Djuric O., Markovic-Denic L., Popovac S., Todorovic J., Marusic V., Maksimovic N.",Awareness and knowledge about HPV infection and HPV vaccination among women undergoing cytology and colposcopy in Serbian cervical cancer counseling center,2020,Journal of B.U.ON.,25.0,1,,116,124,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081631943&partnerID=40&md5=4f2b5f185ab5d78adb71c807ed979181,Article,Scopus
Ljiljana Markovic-Denic,"Radinovic K., Markovic Denic L., Milan Z., Cirkovic A., Baralic M., Bumbasirevic V.","Impact of intraoperative blood pressure, blood pressure fluctuation, and pulse pressure on postoperative delirium in elderly patients with hip fracture: A prospective cohort study",2019,Injury,50.0,9,,1558,1564,0,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068261516&doi=10.1016%2fj.injury.2019.06.026&partnerID=40&md5=2a86a875542caa2d58558c07853cdc5d,Article,Scopus
Ljiljana Markovic-Denic,"Djuric O., Markovic-Denic L., Jovanovic B., Bumbasirevic V.",High incidence of multiresistant bacterial isolates from bloodstream infections in trauma emergency department and intensive care unit in Serbia,2019,Acta Microbiologica et Immunologica Hungarica,66.0,3,,307,325,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071475293&doi=10.1556%2f030.66.2019.007&partnerID=40&md5=0e8ad4bac15f73ecd61dc691d90df979,Article,Scopus
Ljiljana Markovic-Denic,"Selakovic I., Dubljanin-Raspopovic E., Markovic-Denic L., Marusic V., Cirkovic A., Kadija M., Tomanovic-Vujadinovic S., Tulic G.",Can early assessment of hand grip strength in older hip fracture patients predict functional outcome?,2019,PLoS ONE,14.0,8,e0213223,0,0,0,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070220187&doi=10.1371%2fjournal.pone.0213223&partnerID=40&md5=d61e8ee5179f244bc2f3f887c366f6ee,Article,Scopus
Ljiljana Markovic-Denic,"Djuric O., Markovic-Denic L., Jovanovic B., Jovanovic S., Marusic V., Bumbasirevic V.","Bacterial bloodstream infections in level-i trauma intensive care unit in serbia: Incidence, causative agents and outcomes",2018,Journal of Infection in Developing Countries,12.0,12,,1079,1087,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060997081&doi=10.3855%2fjidc.10737&partnerID=40&md5=8dc66f69c11f94af7e2e90e49783b594,Article,Scopus
Ljiljana Markovic-Denic,"Ricchizzi E., Latour K., Kärki T., Buttazzi R., Jans B., Moro M.L., Nakitanda O.A., Plachouras D., Monnet D.L., Suetens C., Kinross P., Lusignani L.S., Strauss R., Hedlová D., Jindrák V., Bosnjak Z., Budimir A., Gabriel E., Jensen C.S., Lyytikäinen O., Sarvikivi E., Savey A., Daniau C., Schmidt N., Ruscher C., Adami M.-E., Panagiotakis S.H., Veress I., Burns K., Murphy H., Zotti C.M., Furmenti M.F., Avelytė J., Weydert M., Basovska B.P., Kochinski D., Borg M.A., Bonanno M., Verhoef L., Halonen K., Eriksen H.-M., Bentele H., Wojkowska-Mach J., Mazińska B., Pacheco P., Valente M., Markovic-Denic L., Krtinic G., Garabásová M.K., Stefkovicová M., Caceres E.L., Castillo M.J.T., Söderblom T., Hellman J., Sartaj M., Crockford T., Cairns S., Gibbons C., Harrison W., Jeffrey C., HALT Study Group","Antimicrobial use in european long-term care facilities: Results from the third point prevalence survey of healthcare-associated infections and antimicrobial use, 2016 to 2017",2018,Eurosurveillance,23.0,46,1800394,0,0,0,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056803308&doi=10.2807%2f1560-7917.ES.2018.23.46.1800394&partnerID=40&md5=6f7f298fd20c1f6414b186449fd8cd8d,Article,Scopus
Ljiljana Markovic-Denic,"Plachouras D., Kärki T., Hansen S., Hopkins S., Lyytikäinen O., Moro M.L., Reilly J., Zarb P., Zingg W., Kinross P., Weist K., Monnet D.L., Suetens C., Strauss R., Presterl E., Latour K., Vandael E., Dobreva E., Ivanov I.N., Budimir A., Bosnjak Z., Hadjihannas L., Jindrák V., Märtin P., Mitt P., Sarvikivi E., Daniau C., Berger-Carbonne A., Aghdassi S., Gastmeier P., Kontopidou F., Arvaniti K., Hajdu A., Guðlaugsson Ó., Zotti C.M., Quattrocolo F., Burns K., Dimiņa E., Vilde A., Staniulytė J., Debacker M., Arendt V., Borg M.A., Hopmans T., Smid E., Berg T.C., Alberg T., Deptula A., Rydygier L., Neves I., Pacheco P., Serban R.I., Niculcea A.S., Markovic-Denic L., Dragovac G., Litvová S., Stefkovicová M., Zupanc T.L., Korosec A., Asensio A., Cantero M., Johnson A., Sartaj M., McConaghy M., Cairns S., Gibbons C., Nedyalkov M., Hristova R., Point Prevalence Survey Study Group, Harrison W., Florentin D.","Antimicrobial use in european acute care hospitals: Results from the second point prevalence survey (PPS) of healthcare-associated infections and antimicrobial use, 2016 to 2017",2018,Eurosurveillance,23.0,46,,0,0,0,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056802010&doi=10.2807%2f1560-7917.ES.23.46.1800393&partnerID=40&md5=0c4a9cd047690d15942eadc83e5a9a87,Article,Scopus
Ljiljana Markovic-Denic,"Djuric O., Markovic-Denic L., Jovanovic B., Bumbasirevic V.",Agreement between CDC/NHSN surveillance definitions and ECDC criteria in diagnosis of healthcare-associated infections in Serbian trauma patients,2018,PLoS ONE,13.0,10,e0204893,0,0,0,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054445958&doi=10.1371%2fjournal.pone.0204893&partnerID=40&md5=1571831878db947e42dd187ceebabddf,Article,Scopus
Ljiljana Markovic-Denic,"Jovanovic B., Djuric O., Markovic-Denic L., Isakovic A., Doklestic K., Stankovic S., Vidicevic S., Palibrk I., Samardzic J., Bumbasirevic V.",Prognostic value of presepsin (Soluble CD14-subtype) in diagnosis of ventilator-associated pneumonia and sepsis in trauma patients [Prognosticka vrednost presepsina (Solubilnog CD 14-podtipa) u dijagnozi pneumonija povezanih sa mehanickom ventilacijom i sepse kod traumatizovanih bolesnika],2018,Vojnosanitetski Pregled,75.0,10,,968,977,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060096019&doi=10.2298%2fVSP161104027J&partnerID=40&md5=9428bb8f532d0d390b5069b8a6ec5e5c,Article,Scopus
