Author,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
Vera Pravica,"Paunovic V., Petrovic I.V., Milenkovic M., Janjetovic K., Pravica V., Dujmovic I., Milosevic E., Martinovic V., Mesaros S., Drulovic J., Trajkovic V.",Autophagy-independent increase of ATG5 expression in T cells of multiple sclerosis patients,2018,Journal of Neuroimmunology,319,NaN,,100,105,0,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043451518&doi=10.1016%2fj.jneuroim.2018.03.001&partnerID=40&md5=33b58816b005fb4bf9380ed185745f49,Article,Scopus
Vera Pravica,"Mijac D., Vukovic-Petrovic I., Mijac V., Perovic V., Milic N., Djuranovic S., Bojic D., Popovic D., Culafic D., Krstic M., Jankovic G., Pravica V., Markovic M.",MDR1 gene polymorphisms are associated with ulcerative colitis in a cohort of Serbian patients with inflammatory bowel disease,2018,PLoS ONE,13,3,e0194536,0,0,0,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044053745&doi=10.1371%2fjournal.pone.0194536&partnerID=40&md5=a6bb8f6f5c9163e72384569a6388752c,Article,Scopus
Vera Pravica,"Perovic V., Markovic M., Kravljaca M., Milosevic E., Djoric M., Pravica V., Naumovic R.",Cytokine Gene Polymorphism Profiles in Kidney Transplant Patients - Association of +1188A/C RS3212227 SNP in the IL12B Gene Prevents Delayed Graft Function,2018,Archives of Medical Research,49,2,,101,108,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046688160&doi=10.1016%2fj.arcmed.2018.04.015&partnerID=40&md5=76c4eb2a7bf773a4becd1384642ef60d,Article,Scopus
Vera Pravica,"Mijac D., Petrovic I.V., Djuranovic S., Perovic V., Bojic D., Culafic D., Popovic D., Krstic M., Jankovic G., Djoric M., Pravica V., Markovic M.",The polymorphism rs3024505 (C/T) downstream of the IL10 gene is associated with crohn’s disease in serbian patients with inflammatory bowel disease,2016,Tohoku Journal of Experimental Medicine,240,1,,15,24,0,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983670615&doi=10.1620%2ftjem.240.15&partnerID=40&md5=e2be82526dcec6b17ec51934cd0b9409,Article,Scopus
Vera Pravica,"Perovic D., Perovic V., Pravica V., Bonaci-Nikolic B., Mijanovic R., Bunjevacki V.",Evaluation of cytokine genetic polymorphisms in adult patients with common variable immunodeficiency: A single-center study,2016,Immunology Letters,176,NaN,,97,104,0,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976320160&doi=10.1016%2fj.imlet.2016.05.005&partnerID=40&md5=ffa9e1b69b2074eb3dbbcb0d8aab4bbf,Article,Scopus
Vera Pravica,"Marek E., Momper J.D., Hines R.N., Takao C.M., Gill J.C., Pravica V., Gaedigk A., Burckart G.J., Neville K.A.",Prediction of warfarin dose in pediatric patients: An evaluation of the predictive performance of several models,2016,Journal of Pediatric Pharmacology and Therapeutics,21,3,,224,232,0,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051778164&doi=10.5863%2f1551-6776-21.3.224&partnerID=40&md5=aad28f24be1812be1bf6390522fd8f39,Article,Scopus
Vera Pravica,"Tosic Dragovic J., Popovic J., Djuric P., Jankovic A., Bulatovic A., Barovic M., Pravica V., Marinkovic J., Dimkovic N.","Relative risk for cardiovascular morbidity in hemodialysis patients regarding gene polymorphism for IL-10, IL-6, and TNF",2016,Canadian Journal of Physiology and Pharmacology,94,10,,1106,1109,0,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989967150&doi=10.1139%2fcjpp-2015-0569&partnerID=40&md5=9b75a7f64354ff589ca75b13a2d84fd2,Article,Scopus
Vera Pravica,"Kravljaca M., Perovic V., Pravica V., Brkovic V., Milinkovic M., Lausevic M., Naumovic R.",The importance of MDR1 gene polymorphisms for tacrolimus dosage,2016,European Journal of Pharmaceutical Sciences,83,NaN,,109,113,0,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952310803&doi=10.1016%2fj.ejps.2015.12.020&partnerID=40&md5=09635723de8693ddd2f8ef4049e9d661,Article,Scopus
Vera Pravica,"Popadic S., Savic E., Markovic M., Ramic Z., Medenica L., Pravica V., Spuran Z., Trajkovic V., Popadic D.","TNF, IL12B, and IFNG gene polymorphisms in serbian patients with psoriasis",2015,Annals of Dermatology,27,2,,128,132,0,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925600005&doi=10.5021%2fad.2015.27.2.128&partnerID=40&md5=1113470a4a9e8137a174d3ffa744c66d,Article,Scopus
Vera Pravica,"Bazzaz J.T., Amoli M.M., Taheri Z., Larijani B., Pravica V., Hutchinson I.V.",TNF-α and IFN-γ gene variation and genetic susceptibility to type 1 diabetes and its microangiopathic complications,2014,Journal of Diabetes and Metabolic Disorders,13,1,46,0,0,0,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910045094&doi=10.1186%2f2251-6581-13-46&partnerID=40&md5=25191efbbfeedef7731ad7165c8472c7,Article,Scopus
