Author,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
Jasmina Simonovic-Babic,"Chkhartishvili N., Holban T., Babic J.S., Alexiev I., Maticic M., Kowalska J., Horban A., Afonina L., Antonyak S., Balayan T., Bednarska A., Begovac J., Bukovinowa P., Firląg-Burkacka E., Bursa D., Bolokadze N., Caplinskas S., Cholewińska-Szymańska G., Chkhartishvili N., de Witt S., Dragovic G., Gökengin D., Harxhi A., Higersberger J., Holban T., Horban A., Jevtovic D., Jilich D., Karpov I., Konopnicky D., Kowalska J., Ladnaya N., Lakatos B., Lundgren J.D., Marczyńska M., Mardarescu M., Matłosz B., Molina J.M., Mulabdic V., Oprea C., Otelea D., Paciorek M., Panteleev A., Papadopoulos A., Pietraszkiewicz E., Podlasin B., Podlekareva D., Pozniak A., Pula J., Sedlacek D., Skrzat-Klapaczyńska A., Simonovic-Babic J., Sluzhynska M., Streinu-Cercel A., Tomazic J., Rukhadze N., Ruutel K., Stańczak J., Vassilenko A., Vasylyev M., Youle M., Yurin O., Zabłocka H., ECEE Network Group",State of viral hepatitis care in 16 countries of central and eastern European Region,2019,Central European Journal of Public Health,27,3,,212,216,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072911483&doi=10.21101%2fcejph.a5486&partnerID=40&md5=8cc7e3716241443ff803b24d2ad262c4,Article,Scopus
Jasmina Simonovic-Babic,"Jordovic J., Simonovic-Babic J., Gasic V., Kotur N., Zukic B., Pavlovic S., Lazarevic I., Karalic D., Katanic N., Nikolic N., Urosevic A., Nestorov J., Delic D., Bojovic K.",IL-28B genotypes as predictors of long-term outcome in patients with hepatitis C-related severe liver injury,2019,Journal of Infection in Developing Countries,13,6,,526,535,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069822706&doi=10.3855%2fjidc.11351&partnerID=40&md5=385b66dd64f8185f65209f25fa74d932,Article,Scopus
Jasmina Simonovic-Babic,"Jordovic J., Bojovic K., Simonovic-Babic J., Gasic V., Kotur N., Zukic B., Vukovic M., Pavlovic S., Lazarevic I., Bekic I., Nikolic N., Urosevic A., Mitrovic N., Delic D.",Significance of UGT1A1∗28 genotype in patients with advanced liver injury caused by chronic hepatitis C,2019,Journal of Medical Biochemistry,38,1,,45,52,0,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047099914&doi=10.2478%2fjomb-2018-0015&partnerID=40&md5=e4f287f7ddc4635a2e40dd93319be9bd,Article,Scopus
Jasmina Simonovic-Babic,"Kowalska J.D., Bursa D., Gökengin D., Jilich D., Tomazic J., Vasylyev M., Bukovinowa P., Mulabdic V., Antonyak S., Horban A., Alexiev I., Afonina L., Balayan T., Bednarska A., Begovac J., Firląg-Burkacka E., Bolokadze N., Caplinskas S., Cholewińska-Szymańska G., Chkhartishvili N., de Witt S., Dragovic G., Harxhi A., Higersberger J., Holban T., Jevtovic D., Karpov I., Konopnicky D., Ladnaya N., Lakatos B., Lundgren J.D., Mardarescu M., Matłosz B., Molina J.M., Oprea C., Otelea D., Paciorek M., Panteleev A., Papadopoulos A., Pietraszkiewicz E., Podlasin B., Podlekareva D., Pozniak A., Pula J., Sedlacek D., Skrzat-Klapaczyńska A., Simonovic-Babic J., Sluzhynska M., Streinu-Cercel A., Rukhadze N., Ruutel K., Stańczak J., Vassilenko A., Youle M., Yurin O., Zabłocka H., the ECEE Network Group",HIV health care providers are ready to introduce pre-exposure prophylaxis in Central and Eastern Europe and neighbouring countries: data from the Euroguidelines in Central and Eastern Europe (ECEE) Network Group,2018,HIV Medicine,19,9,,629,633,0,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050500214&doi=10.1111%2fhiv.12641&partnerID=40&md5=165a0cc916a39c39be74c4b26135a3b9,Article,Scopus
Jasmina Simonovic-Babic,"Jordovic J., Bojovic K., Simonovic-Babic J., Gasic V., Kotur N., Zukic B., Vukovic M., Pavlovic S., Lazarevic I., Bekic I., Nikolic N., Urosevic A., Mitrovic N., Delic D.",Significance of UGT1A1∗28 Genotype in Patients with Advanced Liver Injury Caused by Chronic Hepatitis C,2018,Journal of Medical Biochemistry,NaN,NaN,,1,8,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046655907&doi=10.1515%2fjomb-2018-0015&partnerID=40&md5=942f549dd9c172a1e2badae1b6644d32,Article in Press,Scopus
Jasmina Simonovic-Babic,"Mitrovic N., Delic D., Markovic Denic L., Nikolic N., Bojovic K., Simonovic Babic J., Brmbolic B., Milosevic I., Katanic N., Barac A.",The prevalence and the risk factors for hepatitis C virus infection in Serbia,2018,Journal of Infection in Developing Countries,12,3,,171,177,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045268083&doi=10.3855%2fjidc.10172&partnerID=40&md5=fef4c762fe0fe7ca05fa8619b088f90e,Article,Scopus
Jasmina Simonovic-Babic,"Simonovic Babic J., Bojovic K., Delic D., Katanic N., Mitrovic N., Malinic J.",ANTIVIRAL TREATMENT OF HEPATITIS C IN SERBIAN PRISON SETTING: MEDICAL TREATMENT OUTCOMES AND PATIENTS' ADHERENCE,2016,Medicinski pregled,69,4-Mar,,85,91,0,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984830370&doi=10.2298%2fMPNS1604085S&partnerID=40&md5=d17475dea7311277d542a057052d3ec2,Article,Scopus
Jasmina Simonovic-Babic,"Mitrovic N., Delic D., Markovic-Denic L., Jovicic M., Popovic N., Bojovic K., Simonovic Babic J., Svirtlih N.",Seroprevalence and risk factors for hepatitis C virus infection among blood donors in Serbia: A multicentre study,2015,Digestive and Liver Disease,47,7,,572,576,0,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937628239&doi=10.1016%2fj.dld.2015.03.019&partnerID=40&md5=e3444447829a84f57baf58d8b6e487b4,Article,Scopus
Jasmina Simonovic-Babic,"Simonovic Babic J., Bojovic K., Fabri M., Kostic V., Jovanovic M., Mijailovic Z., Svorcan P., Jankovic G.",Boceprevir in genotype 1 chronic hepatitis C: First experiences in Serbia,2015,Srpski Arhiv za Celokupno Lekarstvo,143,2-Jan,,35,41,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924414905&doi=10.2298%2fSARH1502035S&partnerID=40&md5=2e9be3668805394bf0a2c0a574d7b7fb,Article,Scopus
Jasmina Simonovic-Babic,"Popovic N., Stojkovic-Svirtlih N., Simonovic-Babic J., Boricic I., Tomanovic N., Mitrovic N., Delic D.",[The efficacy of lamivudine in the treatment of reactivation of chronic hepatitis B virus infection in patients on immunosuppressive therapy].,2011,Srpski arhiv za celokupno lekarstvo,139,12-Nov,,824,827,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858608293&doi=10.2298%2fSARH1112824P&partnerID=40&md5=b3fa32a043368942ee6153f55b6a8a69,Article,Scopus
