Author,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
Tanja Jovanovic,"Jakovljevic A., Nikolic N., Carkic J., Andric M., Miletic M., Beljic-Ivanovic K., Jovanovic T., Milasin J.",Notch–a possible mediator between Epstein-Barr virus infection and bone resorption in apical periodontitis,2020,Acta Odontologica Scandinavica,78,2,,126,131,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074013790&doi=10.1080%2f00016357.2019.1658896&partnerID=40&md5=812d09598977ed3b600f3796cb53d0bd,Article,Scopus
Tanja Jovanovic,"Banko A.V., Lazarevic I.B., Karalic D.Z., Djukic V.B., Cupic M.D., Stevanovic G., Jovanovic T.P.",The sequence analysis of Epstein–Barr virus EBNA1 gene: could viral screening markers for nasopharyngeal carcinoma be identified?,2019,Medical Microbiology and Immunology,208,1,,81,88,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053546911&doi=10.1007%2fs00430-018-0561-2&partnerID=40&md5=4adab209af2215478db4d5f5342887bf,Article,Scopus
Tanja Jovanovic,"Tasic D., Lazarevic I., Knezevic A., Tasic L., Pikula A., Perisic Z., Jovanovic T., Cupic M.",The impact of environmental and behavioural cofactors on the development of cervical disorders in HR-HPV-infected women in Serbia,2018,Epidemiology and Infection,146,13,,1714,1723,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048783676&doi=10.1017%2fS0950268818001668&partnerID=40&md5=d1f114e9d831bd53c8c9b4b211ffe131,Article,Scopus
Tanja Jovanovic,"Jakovljevic A., Knezevic A., Nikolic N., Soldatovic I., Jovanovic T., Milasin J., Andric M.",Herpesviruses viral loads and levels of proinflammatory cytokines in apical periodontitis,2018,Oral Diseases,24,5,,840,846,0,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043509314&doi=10.1111%2fodi.12829&partnerID=40&md5=7946f60cb59ab27ecb673b852aab4b1f,Article,Scopus
Tanja Jovanovic,"Karalic D., Lazarevic I., Banko A., Cupic M., Jevtovic D., Jovanovic T.",Analysis of variability of urinary excreted JC virus strains in patients infected with HIV and healthy donors,2018,Journal of NeuroVirology,24,3,,305,313,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038105155&doi=10.1007%2fs13365-017-0608-y&partnerID=40&md5=0a4a6f2447385a0802518dddcf38ba58,Article,Scopus
Tanja Jovanovic,"Jakovljevic A., Andric M., Nikolic N., Coric V., Krezovic S., Carkic J., Knezevic A., Beljic-Ivanovic K., Pljesa-Ercegovac M., Miletic M., Soldatovic I., Radosavljevic T., Jovanovic T., Simic T., Ivanovic V., Milasin J.",Levels of oxidative stress biomarkers and bone resorption regulators in apical periodontitis lesions infected by Epstein–Barr virus,2018,International Endodontic Journal,51,6,,593,604,0,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041211172&doi=10.1111%2fiej.12886&partnerID=40&md5=9eea4c62156b576a67ca9a83b700a4bf,Article,Scopus
Tanja Jovanovic,"Radalj A., Nisavic J., Krnjaic D., Valcic M., Jovanovic T., Veljovic L., Milic N.","Detection and molecular characterization of equine herpesviruses 1, 2, and 5 in horses in the Republic of Serbia",2018,Acta Veterinaria Brno,87,1,,27,34,0,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045414513&doi=10.2754%2favb201887010027&partnerID=40&md5=28d264d0c0d901b8b0373a7df5edb2b2,Article,Scopus
Tanja Jovanovic,"Canullo L., Pesce P., Botticelli D., Covani U., Jankovic S., Jovanovic T., Rakic M.",What is the impact of Epstein-Barr Virus in peri-implant infection?,2018,International Journal of Oral and Maxillofacial Implants,33,1,,58,63,0,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041856928&doi=10.11607%2fjomi.5972&partnerID=40&md5=57331cb149c392c125f2f5dd6d5a9ddb,Article,Scopus
Tanja Jovanovic,"Stamenkovic M., Knezevic A., Knezevic I., Kuzmanovic I., Karalic D., Milenkovic S., Jovanovic T.",High-risk human papilloma virus genotypes in cervical carcinoma of Serbian women: Distribution and association with pathohistological findings,2016,Biologicals,44,5,,412,416,0,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978976721&doi=10.1016%2fj.biologicals.2016.05.001&partnerID=40&md5=96912d4f747e182f05d97aab7b7b2596,Article,Scopus
Tanja Jovanovic,"Banko A., Lazarevic I., Stevanovic G., Cirkovic A., Karalic D., Cupic M., Banko B., Milovanovic J., Jovanovic T.",Analysis of the variability of Epstein-Barr virus genes in infectious mononucleosis: Investigation of the potential correlation with biochemical parameters of hepatic involvement,2016,Journal of Medical Biochemistry,35,3,,337,346,0,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978790874&doi=10.1515%2fjomb-2015-0021&partnerID=40&md5=4fca057a2fe667ea9f251007ef1b9c3f,Article,Scopus
